Фамилия,Имя,Оценка
Петров,Петр,5
Сидоров,Сидор,4
Иванов,Иван,3
Смирнов,Алексей,5
Кузнецова,Мария,4
Попов,Дмитрий,5
Васильева,Екатерина,3
Михайлов,Сергей,2
Новикова,Анна,5
Федоров,Андрей,4
Морозов,Владимир,3
Волкова,Ольга,5
Алексеев,Николай,4
Лебедева,Ирина,3
Семенов,Павел,2
Егорова,Наталья,5
Павлов,Роман,4
Козлова,Светлана,5
Степанова,Татьяна,3
Николаев,Артем,4
Орлов,Максим,5
Захарова,Елена,4
Соколов,Игорь,3
Григорьева,Людмила,5
Крылов,Вячеслав,4
Петрова,Алина,2
Васильев,Георгий,5
Сергеева,Валентина,4
Громов,Денис,3
Зайцева,Полина,5
